
2024/09/08 (18:02:24) | ===> btop++ v.1.3.2
2024/09/08 (18:02:24) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/09/08 (18:03:18) | ===> btop++ v.1.3.2
2024/09/08 (18:03:18) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/09/08 (18:03:57) | ===> btop++ v.1.3.2
2024/09/08 (18:03:57) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/09/08 (18:08:06) | ===> btop++ v.1.3.2
2024/09/08 (18:08:06) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/09/08 (19:07:39) | ===> btop++ v.1.3.2
2024/09/08 (19:07:39) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/09/08 (23:38:06) | ===> btop++ v.1.3.2
2024/09/08 (23:38:06) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/09/08 (23:53:45) | ===> btop++ v.1.3.2
2024/09/08 (23:53:45) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/09/08 (23:54:50) | ===> btop++ v.1.3.2
2024/09/08 (23:54:50) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/09/08 (23:58:20) | ===> btop++ v.1.3.2
2024/09/08 (23:58:20) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/09/09 (00:57:53) | ===> btop++ v.1.3.2
2024/09/09 (00:57:53) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/09/09 (01:17:23) | ===> btop++ v.1.3.2
2024/09/09 (01:17:23) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/09/09 (15:16:24) | ===> btop++ v.1.3.2
2024/09/09 (15:16:24) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/09/09 (15:19:22) | ===> btop++ v.1.3.2
2024/09/09 (15:19:22) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
